Term,Model,Ecoregion,Scenario,Ave25yearSpan_Annual_Pr,Plot_index_Annual_Pr,Ave25yearSpan_Winter_pr,Plot_index_Winter_pr,Ave25yearSpan_Spring_pr,Plot_index_Spring_pr,Ave25yearSpan_Summer_pr,Plot_index_Summer_pr,Ave25yearSpan_Fall_pr,Plot_index_Fall_pr
mid-term Future,21,5.1.6,ssp370,3.15E-05,16.9662267,2.34E-05,26.15410952,2.54E-05,25.82407407,3.99E-05,10.30650785,3.75E-05,14.8799005
long-term Future,21,5.1.6,ssp370,3.36E-05,24.49979633,2.58E-05,38.80352884,2.98E-05,47.74047268,3.95E-05,9.076433676,3.92E-05,19.94310625
near-term Future,21,5.2.1,ssp370,2.66E-05,13.05265278,1.46E-05,18.05770333,2.46E-05,10.85684333,3.93E-05,12.05929125,2.80E-05,14.52971508
mid-term Future,21,5.2.1,ssp370,2.68E-05,13.49871159,1.54E-05,25.11970547,2.68E-05,21.08459609,3.72E-05,6.045594856,2.75E-05,12.4859513
long-term Future,21,5.2.1,ssp370,2.80E-05,18.97223145,1.65E-05,33.88272106,2.75E-05,24.01804783,3.81E-05,8.815918148,2.99E-05,22.02797387
near-term Future,21,5.2.2,ssp370,2.27E-05,9.503965825,9.03E-06,3.403442608,2.04E-05,11.00565302,3.91E-05,7.758799801,2.22E-05,14.51900321
mid-term Future,21,5.2.2,ssp370,2.27E-05,9.413422644,1.09E-05,24.72755696,2.18E-05,18.39348962,3.69E-05,1.670521609,2.12E-05,9.032632028
long-term Future,21,5.2.2,ssp370,2.44E-05,17.32300818,1.13E-05,29.87979051,2.28E-05,23.76685919,4.05E-05,11.49898955,2.27E-05,16.69467797
near-term Future,21,5.2.3,ssp370,3.45E-05,12.21754402,2.96E-05,12.76714852,3.26E-05,23.99824549,3.81E-05,4.155276004,3.77E-05,12.18868438
mid-term Future,21,5.2.3,ssp370,3.42E-05,11.25122309,3.09E-05,17.35163159,3.23E-05,23.03627933,3.73E-05,1.908493844,3.63E-05,8.075049579
long-term Future,21,5.2.3,ssp370,3.64E-05,18.35435927,3.31E-05,25.82885406,3.53E-05,34.31674476,3.75E-05,2.376890773,3.97E-05,18.36956834
near-term Future,21,5.3.1,ssp370,4.10E-05,6.838621944,3.92E-05,9.297691559,3.86E-05,9.458900904,4.25E-05,1.153008294,4.37E-05,9.408753105
mid-term Future,21,5.3.1,ssp370,4.20E-05,9.641224891,4.15E-05,15.70144642,4.16E-05,18.08259627,4.12E-05,-1.952064777,4.36E-05,9.049687181
long-term Future,21,5.3.1,ssp370,4.31E-05,12.41535097,4.38E-05,22.00219832,4.28E-05,21.39967989,4.06E-05,-3.341734516,4.57E-05,14.32397366
near-term Future,21,5.3.3,ssp370,3.51E-05,0.559960725,2.99E-05,5.279498624,3.50E-05,3.511229246,3.95E-05,-5.838564425,3.59E-05,2.398038982
mid-term Future,21,5.3.3,ssp370,3.73E-05,6.967630237,3.16E-05,11.2981098,3.76E-05,11.12762697,4.48E-05,6.718720751,3.49E-05,-0.45054527
long-term Future,21,5.3.3,ssp370,3.68E-05,5.453436822,3.39E-05,19.38079856,3.66E-05,8.303695351,3.97E-05,-5.451813648,3.73E-05,6.304994419
near-term Future,21,5.4.1,ssp370,1.59E-05,8.093978465,8.24E-06,10.90923993,1.33E-05,21.24786896,2.85E-05,-1.813003497,1.33E-05,18.83566264
mid-term Future,21,5.4.1,ssp370,1.65E-05,12.1747233,8.82E-06,18.74732403,1.46E-05,32.80352387,2.95E-05,1.354274089,1.29E-05,15.20874368
long-term Future,21,5.4.1,ssp370,1.70E-05,15.60948789,8.87E-06,19.44057759,1.37E-05,25.09878692,3.14E-05,8.184243943,1.38E-05,22.85220857
near-term Future,21,5.4.2,ssp370,1.88E-05,9.9219881,1.05E-05,16.83745914,1.73E-05,23.47463974,3.35E-05,-0.546049319,1.36E-05,19.66380037
mid-term Future,21,5.4.2,ssp370,1.89E-05,10.85471585,1.06E-05,18.48135136,1.81E-05,29.20542946,3.41E-05,1.224026418,1.27E-05,11.12592086
