Year,City,Scenario,WarmSpell3,WarmSpell3_min,WarmSpell3_min_model,WarmSpell3_max,WarmSpell3_max_model
1988,Pittsburgh,historical,5.911111111111111,4.966666666666667,ACCESS-CM2,7.466666666666667,CNRM-ESM2-1
1989,Pittsburgh,historical,4.0777777777777775,3.033333333333333,EC-Earth3,5.333333333333333,CNRM-ESM2-1
1990,Pittsburgh,historical,4.522222222222222,2.6,ACCESS-CM2,5.766666666666667,EC-Earth3
1991,Pittsburgh,historical,5.388888888888888,3.533333333333333,CNRM-ESM2-1,6.6,EC-Earth3
1992,Pittsburgh,historical,5.066666666666666,4.5,CNRM-ESM2-1,6.066666666666666,ACCESS-CM2
1993,Pittsburgh,historical,5.188888888888889,3.633333333333333,ACCESS-CM2,7.633333333333334,CNRM-ESM2-1
1994,Pittsburgh,historical,3.777777777777778,1.0,CNRM-ESM2-1,5.433333333333334,EC-Earth3
1995,Pittsburgh,historical,5.355555555555555,3.9,ACCESS-CM2,6.733333333333333,EC-Earth3
1996,Pittsburgh,historical,2.222222222222222,0.0333333333333333,ACCESS-CM2,4.7,EC-Earth3
1997,Pittsburgh,historical,4.877777777777777,3.6,CNRM-ESM2-1,6.7,EC-Earth3
1998,Pittsburgh,historical,4.8999999999999995,4.666666666666667,EC-Earth3,5.333333333333333,ACCESS-CM2
1999,Pittsburgh,historical,6.722222222222222,6.0,ACCESS-CM2,7.866666666666666,CNRM-ESM2-1
2000,Pittsburgh,historical,6.3999999999999995,4.6,EC-Earth3,8.666666666666666,CNRM-ESM2-1
2001,Pittsburgh,historical,5.51111111111111,2.0,CNRM-ESM2-1,9.133333333333333,EC-Earth3
2002,Pittsburgh,historical,3.9888888888888885,3.7,EC-Earth3,4.366666666666666,CNRM-ESM2-1
2003,Pittsburgh,historical,5.611111111111111,4.0,ACCESS-CM2,6.7,EC-Earth3
2004,Pittsburgh,historical,4.6000000000000005,1.9333333333333331,EC-Earth3,6.166666666666667,ACCESS-CM2
2005,Pittsburgh,historical,7.5,5.8,ACCESS-CM2,9.133333333333333,CNRM-ESM2-1
2006,Pittsburgh,historical,5.166666666666667,4.266666666666667,CNRM-ESM2-1,5.633333333333334,EC-Earth3
2007,Pittsburgh,historical,5.177777777777778,3.933333333333333,EC-Earth3,6.033333333333333,CNRM-ESM2-1
2008,Pittsburgh,historical,3.8222222222222224,3.066666666666667,EC-Earth3,4.4,CNRM-ESM2-1
2009,Pittsburgh,historical,6.044444444444444,4.033333333333333,EC-Earth3,7.8,CNRM-ESM2-1
2010,Pittsburgh,historical,5.599999999999999,4.2,ACCESS-CM2,7.0,CNRM-ESM2-1
2011,Pittsburgh,historical,5.222222222222221,3.466666666666667,ACCESS-CM2,6.866666666666666,CNRM-ESM2-1
2012,Pittsburgh,historical,6.033333333333334,5.333333333333333,EC-Earth3,7.133333333333334,CNRM-ESM2-1
2013,Pittsburgh,historical,6.622222222222223,5.6,CNRM-ESM2-1,8.1,EC-Earth3
2014,Pittsburgh,historical,6.022222222222223,4.733333333333333,ACCESS-CM2,6.933333333333334,CNRM-ESM2-1
1951,Portland,historical,2.727272727272727,1.2121212121212122,ACCESS-CM2,4.212121212121212,CNRM-ESM2-1
1952,Portland,historical,3.4545454545454546,2.9696969696969697,ACCESS-CM2,3.8484848484848486,EC-Earth3
1953,Portland,historical,3.4343434343434343,2.696969696969697,EC-Earth3,3.9696969696969697,CNRM-ESM2-1
1954,Portland,historical,3.8989898989898983,2.8484848484848486,ACCESS-CM2,4.484848484848484,CNRM-ESM2-1
1955,Portland,historical,2.6262626262626263,1.9696969696969695,ACCESS-CM2,3.090909090909091,EC-Earth3
1956,Portland,historical,3.696969696969697,2.606060606060606,CNRM-ESM2-1,4.303030303030303,EC-Earth3
1957,Portland,historical,4.121212121212121,2.515151515151515,CNRM-ESM2-1,5.909090909090909,ACCESS-CM2
1958,Portland,historical,3.5656565656565657,3.272727272727273,ACCESS-CM2,3.9696969696969697,CNRM-ESM2-1
1959,Portland,historical,3.737373737373737,2.9696969696969697,CNRM-ESM2-1,5.242424242424242,ACCESS-CM2
1960,Portland,historical,4.0,3.1515151515151514,EC-Earth3,4.878787878787879,ACCESS-CM2
1961,Portland,historical,3.848484848484849,3.090909090909091,ACCESS-CM2,4.575757575757576,CNRM-ESM2-1
1962,Portland,historical,3.4545454545454546,1.9696969696969695,ACCESS-CM2,4.666666666666667,EC-Earth3
1963,Portland,historical,4.808080808080809,4.636363636363637,ACCESS-CM2,5.03030303030303,CNRM-ESM2-1
1964,Portland,historical,3.535353535353535,2.6666666666666665,CNRM-ESM2-1,4.242424242424242,EC-Earth3
1965,Portland,historical,3.585858585858586,1.818181818181818,CNRM-ESM2-1,5.696969696969697,ACCESS-CM2
1966,Portland,historical,2.888888888888889,2.1515151515151514,CNRM-ESM2-1,4.242424242424242,EC-Earth3
1967,Portland,historical,2.9898989898989896,2.272727272727273,CNRM-ESM2-1,4.242424242424242,EC-Earth3
1968,Portland,historical,4.565656565656565,3.727272727272727,EC-Earth3,5.636363636363637,CNRM-ESM2-1
1969,Portland,historical,3.686868686868687,2.696969696969697,ACCESS-CM2,5.0,EC-Earth3
1970,Portland,historical,3.464646464646465,2.636363636363636,ACCESS-CM2,4.757575757575758,EC-Earth3
1971,Portland,historical,4.111111111111111,1.696969696969697,CNRM-ESM2-1,5.454545454545454,EC-Earth3
1972,Portland,historical,2.5757575757575757,2.1818181818181817,ACCESS-CM2,2.8181818181818183,EC-Earth3
1973,Portland,historical,3.464646464646465,3.1818181818181817,CNRM-ESM2-1,3.9696969696969697,EC-Earth3
1974,Portland,historical,3.0707070707070705,1.9090909090909087,CNRM-ESM2-1,3.8181818181818175,EC-Earth3
1975,Portland,historical,4.595959595959596,3.1515151515151514,CNRM-ESM2-1,5.9393939393939394,ACCESS-CM2
1976,Portland,historical,3.272727272727273,3.121212121212121,EC-Earth3,3.484848484848485,CNRM-ESM2-1
1977,Portland,historical,2.9393939393939394,1.303030303030303,ACCESS-CM2,4.0,EC-Earth3
1978,Portland,historical,3.585858585858586,2.9393939393939394,ACCESS-CM2,4.606060606060606,EC-Earth3
1979,Portland,historical,2.8585858585858586,1.878787878787879,ACCESS-CM2,3.696969696969697,EC-Earth3
1980,Portland,historical,2.7474747474747474,2.0303030303030303,EC-Earth3,3.303030303030303,ACCESS-CM2
1981,Portland,historical,2.919191919191919,2.303030303030303,ACCESS-CM2,3.393939393939394,EC-Earth3
1982,Portland,historical,3.080808080808081,2.060606060606061,ACCESS-CM2,4.454545454545454,EC-Earth3
1983,Portland,historical,2.5757575757575757,1.696969696969697,ACCESS-CM2,4.242424242424242,EC-Earth3
1984,Portland,historical,3.2828282828282824,2.696969696969697,ACCESS-CM2,3.939393939393939,EC-Earth3
1985,Portland,historical,3.484848484848485,2.4242424242424243,CNRM-ESM2-1,5.212121212121212,ACCESS-CM2
1986,Portland,historical,3.2727272727272734,2.363636363636364,ACCESS-CM2,4.636363636363637,EC-Earth3
1987,Portland,historical,3.5757575757575757,2.9393939393939394,ACCESS-CM2,3.939393939393939,CNRM-ESM2-1
1988,Portland,historical,4.212121212121212,3.303030303030303,ACCESS-CM2,4.818181818181818,CNRM-ESM2-1
1989,Portland,historical,2.8282828282828283,1.9696969696969695,ACCESS-CM2,3.8484848484848486,CNRM-ESM2-1
1990,Portland,historical,3.06060606060606,1.5151515151515151,CNRM-ESM2-1,4.03030303030303,ACCESS-CM2
1991,Portland,historical,2.929292929292929,2.636363636363636,CNRM-ESM2-1,3.4545454545454546,EC-Earth3
1992,Portland,historical,3.1111111111111107,2.727272727272727,ACCESS-CM2,3.6666666666666665,EC-Earth3
1993,Portland,historical,3.222222222222222,2.8181818181818183,CNRM-ESM2-1,3.5454545454545454,ACCESS-CM2
1994,Portland,historical,3.383838383838384,2.606060606060606,ACCESS-CM2,4.666666666666667,EC-Earth3
1995,Portland,historical,3.03030303030303,2.303030303030303,ACCESS-CM2,4.363636363636363,CNRM-ESM2-1
1996,Portland,historical,3.202020202020202,2.1818181818181817,CNRM-ESM2-1,4.454545454545454,EC-Earth3
1997,Portland,historical,3.5656565656565653,3.0303030303030303,EC-Earth3,4.333333333333333,ACCESS-CM2
1998,Portland,historical,3.272727272727272,2.636363636363636,EC-Earth3,3.606060606060606,CNRM-ESM2-1
1999,Portland,historical,2.95959595959596,2.8484848484848486,ACCESS-CM2,3.1515151515151514,EC-Earth3
2000,Portland,historical,3.656565656565656,2.696969696969697,ACCESS-CM2,5.03030303030303,EC-Earth3
2001,Portland,historical,4.454545454545454,3.303030303030303,CNRM-ESM2-1,5.96969696969697,EC-Earth3
2002,Portland,historical,3.4444444444444446,2.393939393939394,CNRM-ESM2-1,4.666666666666667,EC-Earth3
2003,Portland,historical,2.8383838383838387,2.4545454545454546,ACCESS-CM2,3.575757575757576,EC-Earth3
2004,Portland,historical,3.343434343434344,2.575757575757576,CNRM-ESM2-1,4.727272727272728,EC-Earth3
2005,Portland,historical,2.393939393939394,1.9393939393939397,CNRM-ESM2-1,2.696969696969697,EC-Earth3
2006,Portland,historical,3.575757575757576,2.272727272727273,CNRM-ESM2-1,5.0,ACCESS-CM2
2007,Portland,historical,3.080808080808081,2.242424242424242,CNRM-ESM2-1,3.636363636363636,EC-Earth3
2008,Portland,historical,4.090909090909091,3.484848484848485,CNRM-ESM2-1,4.666666666666667,EC-Earth3
2009,Portland,historical,2.777777777777778,2.333333333333333,ACCESS-CM2,3.575757575757576,EC-Earth3
2010,Portland,historical,3.131313131313131,1.9393939393939397,CNRM-ESM2-1,3.8181818181818175,ACCESS-CM2
2011,Portland,historical,3.0909090909090913,2.393939393939394,ACCESS-CM2,3.757575757575758,CNRM-ESM2-1
2012,Portland,historical,2.3131313131313127,1.818181818181818,ACCESS-CM2,3.1515151515151514,EC-Earth3
2013,Portland,historical,4.01010101010101,3.939393939393939,ACCESS-CM2,4.0606060606060606,CNRM-ESM2-1
2014,Portland,historical,2.3333333333333335,2.060606060606061,CNRM-ESM2-1,2.5454545454545454,EC-Earth3
1951,Puebla,historical,1.0151515151515151,1.0,ACCESS-CM2,1.0454545454545454,EC-Earth3
1952,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1953,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1954,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1955,Puebla,historical,1.0303030303030303,1.0,ACCESS-CM2,1.0909090909090908,EC-Earth3
1956,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1957,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1958,Puebla,historical,1.0606060606060608,1.0,ACCESS-CM2,1.181818181818182,EC-Earth3
1959,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1960,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1961,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1962,Puebla,historical,1.0303030303030303,1.0,ACCESS-CM2,1.0454545454545454,CNRM-ESM2-1
1963,Puebla,historical,1.0151515151515151,1.0,ACCESS-CM2,1.0454545454545454,EC-Earth3
1964,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1965,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1966,Puebla,historical,1.0151515151515151,1.0,ACCESS-CM2,1.0454545454545454,CNRM-ESM2-1
1967,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1968,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1969,Puebla,historical,1.0151515151515151,1.0,ACCESS-CM2,1.0454545454545454,EC-Earth3
1970,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1971,Puebla,historical,1.0151515151515151,1.0,ACCESS-CM2,1.0454545454545454,EC-Earth3
1972,Puebla,historical,1.0151515151515151,1.0,ACCESS-CM2,1.0454545454545454,EC-Earth3
1973,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1974,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1975,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1976,Puebla,historical,1.0151515151515151,1.0,ACCESS-CM2,1.0454545454545454,CNRM-ESM2-1
1977,Puebla,historical,1.0151515151515151,1.0,ACCESS-CM2,1.0454545454545454,EC-Earth3
1978,Puebla,historical,1.0151515151515151,1.0,CNRM-ESM2-1,1.0454545454545454,ACCESS-CM2
1979,Puebla,historical,1.0454545454545456,1.0,ACCESS-CM2,1.1363636363636365,EC-Earth3
1980,Puebla,historical,1.0303030303030303,1.0,ACCESS-CM2,1.0909090909090908,EC-Earth3
1981,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1982,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1983,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1984,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1985,Puebla,historical,1.0151515151515151,1.0,ACCESS-CM2,1.0454545454545454,EC-Earth3
1986,Puebla,historical,1.0151515151515151,1.0,ACCESS-CM2,1.0454545454545454,EC-Earth3
1987,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1988,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1989,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1990,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1991,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1992,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1993,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1994,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1995,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1996,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1997,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1998,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1999,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
2000,Puebla,historical,1.0151515151515151,1.0,ACCESS-CM2,1.0454545454545454,CNRM-ESM2-1
2001,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
2002,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
2003,Puebla,historical,1.0151515151515151,1.0,ACCESS-CM2,1.0454545454545454,CNRM-ESM2-1
2004,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
2005,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
2006,Puebla,historical,1.0151515151515151,1.0,ACCESS-CM2,1.0454545454545454,CNRM-ESM2-1
2007,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
2008,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
2009,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
2010,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
2011,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
2012,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
2013,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
2014,Puebla,historical,1.0,1.0,ACCESS-CM2,1.0,ACCESS-CM2
1951,Quebec City,historical,0.5252525252525252,0.0606060606060606,CNRM-ESM2-1,0.9696969696969696,EC-Earth3
1952,Quebec City,historical,0.0909090909090909,0.0,CNRM-ESM2-1,0.2727272727272727,ACCESS-CM2
1953,Quebec City,historical,0.7676767676767676,0.0,ACCESS-CM2,1.9696969696969695,EC-Earth3
1954,Quebec City,historical,0.1818181818181818,0.0,ACCESS-CM2,0.5454545454545454,CNRM-ESM2-1
1955,Quebec City,historical,0.888888888888889,0.7272727272727273,ACCESS-CM2,1.0,EC-Earth3
1956,Quebec City,historical,0.3838383838383838,0.0,CNRM-ESM2-1,0.7878787878787878,EC-Earth3
1957,Quebec City,historical,0.303030303030303,0.0,ACCESS-CM2,0.5454545454545454,EC-Earth3
1958,Quebec City,historical,0.101010101010101,0.0,ACCESS-CM2,0.303030303030303,EC-Earth3
1959,Quebec City,historical,0.8686868686868688,0.0303030303030303,CNRM-ESM2-1,1.393939393939394,ACCESS-CM2
1960,Quebec City,historical,0.494949494949495,0.1515151515151515,EC-Earth3,0.6666666666666666,ACCESS-CM2
1961,Quebec City,historical,0.8989898989898991,0.0,CNRM-ESM2-1,1.878787878787879,ACCESS-CM2
1962,Quebec City,historical,0.1818181818181818,0.0,CNRM-ESM2-1,0.4545454545454545,EC-Earth3
1963,Quebec City,historical,0.3333333333333333,0.0,ACCESS-CM2,1.0,CNRM-ESM2-1
1964,Quebec City,historical,0.4747474747474747,0.0,EC-Earth3,1.0606060606060606,ACCESS-CM2
1965,Quebec City,historical,0.5858585858585859,0.0909090909090909,CNRM-ESM2-1,0.9696969696969696,ACCESS-CM2
1966,Quebec City,historical,0.5353535353535354,0.1212121212121212,CNRM-ESM2-1,0.9696969696969696,ACCESS-CM2
1967,Quebec City,historical,0.1515151515151515,0.0,ACCESS-CM2,0.4545454545454545,CNRM-ESM2-1
1968,Quebec City,historical,0.3434343434343434,0.0,CNRM-ESM2-1,1.0,EC-Earth3
1969,Quebec City,historical,0.42424242424242425,0.0,ACCESS-CM2,0.6666666666666666,CNRM-ESM2-1
1970,Quebec City,historical,0.2424242424242424,0.0,EC-Earth3,0.4545454545454545,ACCESS-CM2
1971,Quebec City,historical,0.7575757575757577,0.2121212121212121,ACCESS-CM2,1.1515151515151516,CNRM-ESM2-1
1972,Quebec City,historical,0.21212121212121213,0.0,ACCESS-CM2,0.5454545454545454,CNRM-ESM2-1
1973,Quebec City,historical,1.2121212121212122,0.7878787878787878,CNRM-ESM2-1,1.5454545454545454,EC-Earth3
1974,Quebec City,historical,0.0808080808080808,0.0,CNRM-ESM2-1,0.2424242424242424,ACCESS-CM2
1975,Quebec City,historical,0.1818181818181818,0.0,ACCESS-CM2,0.5454545454545454,EC-Earth3
1976,Quebec City,historical,0.29292929292929293,0.0303030303030303,EC-Earth3,0.7575757575757576,ACCESS-CM2
1977,Quebec City,historical,0.797979797979798,0.0,CNRM-ESM2-1,1.6666666666666667,ACCESS-CM2
1978,Quebec City,historical,0.6666666666666666,0.0606060606060606,CNRM-ESM2-1,1.1515151515151516,ACCESS-CM2
1979,Quebec City,historical,0.5959595959595959,0.0909090909090909,EC-Earth3,1.3333333333333333,ACCESS-CM2
1980,Quebec City,historical,0.1717171717171717,0.0,ACCESS-CM2,0.4242424242424242,CNRM-ESM2-1
1981,Quebec City,historical,0.4141414141414141,0.0303030303030303,EC-Earth3,0.7575757575757576,ACCESS-CM2
1982,Quebec City,historical,0.494949494949495,0.0,ACCESS-CM2,0.7575757575757576,CNRM-ESM2-1
1983,Quebec City,historical,0.21212121212121213,0.0,CNRM-ESM2-1,0.6060606060606061,EC-Earth3
1984,Quebec City,historical,0.40404040404040403,0.1212121212121212,ACCESS-CM2,0.7272727272727273,EC-Earth3
1985,Quebec City,historical,0.39393939393939387,0.0,EC-Earth3,1.121212121212121,CNRM-ESM2-1
1986,Quebec City,historical,1.0505050505050504,0.0,EC-Earth3,2.212121212121212,ACCESS-CM2
1987,Quebec City,historical,0.0505050505050505,0.0,ACCESS-CM2,0.1212121212121212,EC-Earth3
1988,Quebec City,historical,0.585858585858586,0.0,EC-Earth3,0.9090909090909092,ACCESS-CM2
1989,Quebec City,historical,0.29292929292929293,0.0,ACCESS-CM2,0.8181818181818182,CNRM-ESM2-1
1990,Quebec City,historical,0.2222222222222222,0.0,ACCESS-CM2,0.5151515151515151,EC-Earth3
1991,Quebec City,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1992,Quebec City,historical,0.23232323232323235,0.0,ACCESS-CM2,0.696969696969697,CNRM-ESM2-1
1993,Quebec City,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1994,Quebec City,historical,0.303030303030303,0.0,CNRM-ESM2-1,0.4848484848484848,EC-Earth3
1995,Quebec City,historical,0.1212121212121212,0.0,CNRM-ESM2-1,0.3636363636363636,ACCESS-CM2
1996,Quebec City,historical,0.2626262626262626,0.0,ACCESS-CM2,0.7878787878787878,CNRM-ESM2-1
1997,Quebec City,historical,0.0707070707070707,0.0303030303030303,EC-Earth3,0.1212121212121212,CNRM-ESM2-1
1998,Quebec City,historical,0.4343434343434343,0.0606060606060606,CNRM-ESM2-1,0.8484848484848485,EC-Earth3
1999,Quebec City,historical,0.0404040404040404,0.0,CNRM-ESM2-1,0.1212121212121212,ACCESS-CM2
2000,Quebec City,historical,0.5353535353535354,0.0,CNRM-ESM2-1,1.606060606060606,ACCESS-CM2
2001,Quebec City,historical,0.16161616161616157,0.0303030303030303,CNRM-ESM2-1,0.4242424242424242,ACCESS-CM2
2002,Quebec City,historical,0.8787878787878789,0.0,ACCESS-CM2,2.363636363636364,CNRM-ESM2-1
2003,Quebec City,historical,0.6262626262626263,0.0,ACCESS-CM2,1.1515151515151516,EC-Earth3
2004,Quebec City,historical,0.4444444444444445,0.0,EC-Earth3,0.7575757575757576,CNRM-ESM2-1
2005,Quebec City,historical,0.5858585858585859,0.0,CNRM-ESM2-1,0.8787878787878788,ACCESS-CM2
2006,Quebec City,historical,1.090909090909091,0.0,CNRM-ESM2-1,2.272727272727273,EC-Earth3
2007,Quebec City,historical,1.2323232323232325,0.7272727272727273,EC-Earth3,1.5151515151515151,CNRM-ESM2-1
2008,Quebec City,historical,0.6363636363636364,0.0,ACCESS-CM2,1.393939393939394,CNRM-ESM2-1
2009,Quebec City,historical,0.0303030303030303,0.0,ACCESS-CM2,0.0909090909090909,CNRM-ESM2-1
2010,Quebec City,historical,0.8383838383838383,0.6666666666666666,ACCESS-CM2,1.0,EC-Earth3
2011,Quebec City,historical,1.292929292929293,0.0,ACCESS-CM2,2.8484848484848486,EC-Earth3
2012,Quebec City,historical,0.4646464646464647,0.2121212121212121,CNRM-ESM2-1,0.7575757575757576,ACCESS-CM2
2013,Quebec City,historical,0.5252525252525252,0.303030303030303,CNRM-ESM2-1,0.8181818181818182,ACCESS-CM2
2014,Quebec City,historical,0.1313131313131313,0.0,CNRM-ESM2-1,0.303030303030303,EC-Earth3
1951,Riverside-San Bernardino,historical,1.4393939393939394,1.2727272727272727,ACCESS-CM2,1.5454545454545454,EC-Earth3
1952,Riverside-San Bernardino,historical,2.227272727272727,1.3636363636363635,ACCESS-CM2,3.3181818181818183,EC-Earth3
1953,Riverside-San Bernardino,historical,1.575757575757576,1.318181818181818,ACCESS-CM2,1.7727272727272727,CNRM-ESM2-1
1954,Riverside-San Bernardino,historical,1.8636363636363635,1.6363636363636365,ACCESS-CM2,2.0,EC-Earth3
1955,Riverside-San Bernardino,historical,1.7727272727272727,1.181818181818182,ACCESS-CM2,2.5454545454545454,EC-Earth3
1956,Riverside-San Bernardino,historical,1.575757575757576,1.4545454545454546,EC-Earth3,1.681818181818182,ACCESS-CM2
1957,Riverside-San Bernardino,historical,1.7727272727272727,1.4090909090909092,CNRM-ESM2-1,2.363636363636364,ACCESS-CM2
1958,Riverside-San Bernardino,historical,1.5606060606060606,1.3636363636363635,EC-Earth3,1.7727272727272727,ACCESS-CM2
1959,Riverside-San Bernardino,historical,1.515151515151515,1.2272727272727273,EC-Earth3,1.818181818181818,ACCESS-CM2
1960,Riverside-San Bernardino,historical,1.5606060606060606,1.0454545454545454,EC-Earth3,1.8636363636363635,CNRM-ESM2-1
1961,Riverside-San Bernardino,historical,1.8939393939393938,1.5,ACCESS-CM2,2.136363636363636,EC-Earth3
1962,Riverside-San Bernardino,historical,1.4393939393939394,1.318181818181818,ACCESS-CM2,1.5,CNRM-ESM2-1
1963,Riverside-San Bernardino,historical,1.9848484848484846,1.6363636363636365,ACCESS-CM2,2.1818181818181817,CNRM-ESM2-1
1964,Riverside-San Bernardino,historical,2.015151515151515,1.818181818181818,ACCESS-CM2,2.136363636363636,EC-Earth3
1965,Riverside-San Bernardino,historical,1.4393939393939394,1.181818181818182,CNRM-ESM2-1,1.681818181818182,ACCESS-CM2
1966,Riverside-San Bernardino,historical,1.515151515151515,1.2727272727272727,CNRM-ESM2-1,1.8636363636363635,EC-Earth3
1967,Riverside-San Bernardino,historical,1.3484848484848484,1.318181818181818,ACCESS-CM2,1.3636363636363635,CNRM-ESM2-1
1968,Riverside-San Bernardino,historical,1.5454545454545452,1.318181818181818,ACCESS-CM2,1.818181818181818,EC-Earth3
1969,Riverside-San Bernardino,historical,1.9393939393939394,1.4090909090909092,ACCESS-CM2,2.5454545454545454,EC-Earth3
1970,Riverside-San Bernardino,historical,1.8636363636363635,1.681818181818182,ACCESS-CM2,2.090909090909091,EC-Earth3
1971,Riverside-San Bernardino,historical,1.6363636363636365,1.4090909090909092,CNRM-ESM2-1,1.818181818181818,EC-Earth3
1972,Riverside-San Bernardino,historical,1.515151515151515,1.1363636363636365,ACCESS-CM2,1.8636363636363635,CNRM-ESM2-1
1973,Riverside-San Bernardino,historical,1.8333333333333333,1.4090909090909092,ACCESS-CM2,2.1818181818181817,CNRM-ESM2-1
1974,Riverside-San Bernardino,historical,1.621212121212121,1.3636363636363635,CNRM-ESM2-1,1.9090909090909087,EC-Earth3
1975,Riverside-San Bernardino,historical,2.0454545454545454,1.5909090909090908,CNRM-ESM2-1,2.6818181818181817,ACCESS-CM2
1976,Riverside-San Bernardino,historical,1.5303030303030303,1.3636363636363635,EC-Earth3,1.7727272727272727,ACCESS-CM2
1977,Riverside-San Bernardino,historical,1.5606060606060606,1.5,ACCESS-CM2,1.5909090909090908,CNRM-ESM2-1
1978,Riverside-San Bernardino,historical,1.712121212121212,1.5909090909090908,ACCESS-CM2,1.9090909090909087,CNRM-ESM2-1
1979,Riverside-San Bernardino,historical,1.4393939393939394,1.2727272727272727,CNRM-ESM2-1,1.5909090909090908,EC-Earth3
1980,Riverside-San Bernardino,historical,1.7575757575757576,1.5454545454545454,ACCESS-CM2,2.1818181818181817,CNRM-ESM2-1
1981,Riverside-San Bernardino,historical,1.515151515151515,1.1363636363636365,ACCESS-CM2,1.8636363636363635,CNRM-ESM2-1
1982,Riverside-San Bernardino,historical,1.5454545454545452,1.318181818181818,CNRM-ESM2-1,1.8636363636363635,EC-Earth3
1983,Riverside-San Bernardino,historical,1.409090909090909,1.3636363636363635,ACCESS-CM2,1.5,EC-Earth3
1984,Riverside-San Bernardino,historical,1.409090909090909,1.2727272727272727,EC-Earth3,1.5909090909090908,ACCESS-CM2
1985,Riverside-San Bernardino,historical,1.515151515151515,1.4545454545454546,CNRM-ESM2-1,1.6363636363636365,ACCESS-CM2
1986,Riverside-San Bernardino,historical,1.5454545454545456,1.181818181818182,ACCESS-CM2,1.818181818181818,EC-Earth3
1987,Riverside-San Bernardino,historical,1.6060606060606062,1.318181818181818,ACCESS-CM2,1.8636363636363635,CNRM-ESM2-1
1988,Riverside-San Bernardino,historical,1.7878787878787878,1.4545454545454546,ACCESS-CM2,1.9545454545454544,CNRM-ESM2-1
1989,Riverside-San Bernardino,historical,1.5454545454545456,1.318181818181818,ACCESS-CM2,1.8636363636363635,CNRM-ESM2-1
