Year,Ecoregion,Scenario,CDDMmean,CDDMmean_min,CDDMmean_min_model,CDDMmean_max,CDDMmean_max_model,CDDMmax,CDDMmax_min,CDDMmax_min_model,CDDMmax_max,CDDMmax_max_model
1951,0.0.0,historical,108.35543814386699,92.15202409880568,CNRM-ESM2-1,120.98619531904008,ACCESS-CM2,140.59478721618734,124.56093052455437,CNRM-ESM2-1,149.97195777893145,EC-Earth3
1952,0.0.0,historical,101.30722676912997,34.366776016780655,CNRM-ESM2-1,161.1585907118668,ACCESS-CM2,128.34524668284905,65.70452919006415,CNRM-ESM2-1,196.27304694312053,ACCESS-CM2
1953,0.0.0,historical,96.5618019966857,46.031684139796994,CNRM-ESM2-1,123.43821811676086,ACCESS-CM2,121.30435053053425,75.25964779172678,CNRM-ESM2-1,145.45243278231015,EC-Earth3
1954,0.0.0,historical,56.65293347040849,44.30854629789109,ACCESS-CM2,77.56652442387228,EC-Earth3,78.37023768197973,72.7243639673509,CNRM-ESM2-1,82.20244379043643,EC-Earth3
1955,0.0.0,historical,72.97586943308555,49.2783594948908,CNRM-ESM2-1,87.17541916029849,EC-Earth3,100.06126715796397,75.54400630678492,CNRM-ESM2-1,123.75558004379351,EC-Earth3
1956,0.0.0,historical,61.43962430613425,37.65880679403072,CNRM-ESM2-1,101.60382572582851,ACCESS-CM2,96.07547468457967,65.8566906656544,CNRM-ESM2-1,144.67318605695536,ACCESS-CM2
1957,0.0.0,historical,77.07478906200089,65.50570257731883,ACCESS-CM2,89.90780836173516,CNRM-ESM2-1,113.20966926756421,98.94982951028064,ACCESS-CM2,138.58623745782103,CNRM-ESM2-1
1958,0.0.0,historical,83.21573475656108,68.23158020292053,CNRM-ESM2-1,91.80751677240708,EC-Earth3,122.38392514274312,113.3493776593896,CNRM-ESM2-1,129.57808769771125,EC-Earth3
1959,0.0.0,historical,116.85595214480509,89.23579017775458,ACCESS-CM2,152.494485051292,EC-Earth3,155.6196282341375,100.61471676145356,ACCESS-CM2,206.10000494548345,EC-Earth3
1960,0.0.0,historical,129.86144520782355,106.22579962866712,EC-Earth3,166.9821309532447,CNRM-ESM2-1,177.05831186203827,148.0272910254352,EC-Earth3,223.55022062574227,CNRM-ESM2-1
1961,0.0.0,historical,153.38955426897394,44.3699969972886,CNRM-ESM2-1,299.59109230041616,ACCESS-CM2,174.09375043142506,59.46074134281744,CNRM-ESM2-1,323.2687028203706,ACCESS-CM2
1962,0.0.0,historical,107.34470686685529,24.912402262006715,CNRM-ESM2-1,156.42905311584553,EC-Earth3,139.40323796499422,49.78010943276586,CNRM-ESM2-1,192.862067576818,EC-Earth3
1963,0.0.0,historical,110.02272463980233,40.192878777640544,ACCESS-CM2,151.61723919596074,CNRM-ESM2-1,141.01941394351851,56.52918321064588,ACCESS-CM2,186.8741613933026,EC-Earth3
1964,0.0.0,historical,92.88476760273939,33.00825928279368,CNRM-ESM2-1,164.18842086110865,ACCESS-CM2,122.48125499089632,53.18712910243499,CNRM-ESM2-1,193.3318338121696,ACCESS-CM2
1965,0.0.0,historical,100.92756032716723,62.80743852342922,EC-Earth3,146.4027118887229,CNRM-ESM2-1,129.36830821264437,67.65051370348301,EC-Earth3,200.05408288410848,CNRM-ESM2-1
1966,0.0.0,historical,71.1873939888822,36.52477674824879,ACCESS-CM2,113.26230638367848,CNRM-ESM2-1,102.12329765501534,66.38081674575848,ACCESS-CM2,155.97633912222804,CNRM-ESM2-1
1967,0.0.0,historical,59.518775229227366,33.70938462529888,ACCESS-CM2,83.12428920609662,CNRM-ESM2-1,88.4203147070754,64.7497041838514,ACCESS-CM2,113.41010833467824,CNRM-ESM2-1
1968,0.0.0,historical,92.39361532642774,15.046628986086322,CNRM-ESM2-1,169.2239706584393,EC-Earth3,112.19515392212702,19.4213264329095,CNRM-ESM2-1,204.1118265833183,EC-Earth3
1969,0.0.0,historical,68.41460557665188,53.71388663564443,CNRM-ESM2-1,81.48072383063234,EC-Earth3,85.93079448881663,69.17911069052607,CNRM-ESM2-1,106.1552840096617,EC-Earth3
1970,0.0.0,historical,75.10462484586857,43.18553986549424,CNRM-ESM2-1,106.19063252721574,EC-Earth3,97.75962099801995,56.53072015217436,CNRM-ESM2-1,139.0949735641488,EC-Earth3
1971,0.0.0,historical,109.94474272728024,94.32683148384142,ACCESS-CM2,140.8144341809416,CNRM-ESM2-1,151.89326180049432,129.01245264325902,EC-Earth3,192.12983747209907,CNRM-ESM2-1
1972,0.0.0,historical,109.01036381040359,59.70991782460934,EC-Earth3,141.02577239445347,ACCESS-CM2,147.62517629351015,78.66088966642168,EC-Earth3,183.8533225059519,ACCESS-CM2
1973,0.0.0,historical,106.07452645301875,65.79311182158374,EC-Earth3,185.99305040495813,ACCESS-CM2,123.50695434297909,82.3199309757783,EC-Earth3,202.0683059828632,ACCESS-CM2
1974,0.0.0,historical,80.05207823571756,45.85006476129841,CNRM-ESM2-1,130.63508271489894,EC-Earth3,111.09910446802844,75.22062627247458,CNRM-ESM2-1,174.04486774717154,EC-Earth3
1975,0.0.0,historical,136.653118798847,103.48429343359862,ACCESS-CM2,197.8016643251701,EC-Earth3,182.25744168417887,135.6758440153948,CNRM-ESM2-1,269.2946442331599,EC-Earth3
1976,0.0.0,historical,123.97159928140242,17.108569949013976,CNRM-ESM2-1,292.80343405859924,ACCESS-CM2,140.08628965105402,36.92275120871432,CNRM-ESM2-1,308.5510000092657,ACCESS-CM2
1977,0.0.0,historical,128.1985849312381,83.01051950454766,CNRM-ESM2-1,163.32450553349173,EC-Earth3,146.47519158408844,120.72546235493324,CNRM-ESM2-1,178.94021370751616,EC-Earth3
1978,0.0.0,historical,80.59538302421628,70.60122089386039,ACCESS-CM2,89.87753308841222,CNRM-ESM2-1,109.40937063126414,90.82260885238716,ACCESS-CM2,134.99674681254882,CNRM-ESM2-1
1979,0.0.0,historical,116.54324359893872,105.70840451376851,EC-Earth3,123.30701383863246,ACCESS-CM2,150.12957959856402,120.015083844322,EC-Earth3,179.055086353848,CNRM-ESM2-1
1980,0.0.0,historical,110.5477235703248,93.02961789539935,ACCESS-CM2,126.4217763628287,CNRM-ESM2-1,137.72053004219504,130.54161352430154,ACCESS-CM2,145.17172925131743,EC-Earth3
1981,0.0.0,historical,99.04806662287085,75.52551326751745,ACCESS-CM2,112.01133655139444,CNRM-ESM2-1,131.52312360037013,111.7473620959696,ACCESS-CM2,148.53468918119248,CNRM-ESM2-1
1982,0.0.0,historical,59.99403013047756,38.30407603808841,ACCESS-CM2,71.2408014842446,EC-Earth3,82.07189434142391,58.60086866106352,ACCESS-CM2,110.65133297784053,CNRM-ESM2-1
1983,0.0.0,historical,91.91855276652802,65.04314665794422,CNRM-ESM2-1,123.7733358928142,ACCESS-CM2,110.3694155011866,83.20371736799032,CNRM-ESM2-1,144.3278781754639,ACCESS-CM2
1984,0.0.0,historical,71.32291877837444,24.199274935041306,CNRM-ESM2-1,123.20477110999026,ACCESS-CM2,95.09015631448706,43.15456211907544,CNRM-ESM2-1,149.95395819800314,ACCESS-CM2
1985,0.0.0,historical,83.40841551281214,60.18937275069147,ACCESS-CM2,121.7373456750605,CNRM-ESM2-1,104.41318145025417,72.46769579478735,ACCESS-CM2,152.05425641196206,CNRM-ESM2-1
1986,0.0.0,historical,112.45431140263935,47.5961947917942,EC-Earth3,153.2943523883826,ACCESS-CM2,127.56493348621257,64.04439494269289,EC-Earth3,161.63419137682305,ACCESS-CM2
1987,0.0.0,historical,117.8226178101137,78.05619102205593,EC-Earth3,141.96867553847252,CNRM-ESM2-1,141.6241714114242,81.12370090484673,EC-Earth3,173.26859941482624,CNRM-ESM2-1
1988,0.0.0,historical,122.51874304726078,106.27639689445552,ACCESS-CM2,142.72010735103137,CNRM-ESM2-1,167.81824841726484,148.7273256710605,ACCESS-CM2,191.6989770753053,CNRM-ESM2-1
1989,0.0.0,historical,92.67688033694365,60.08737312725653,EC-Earth3,142.28837717601309,CNRM-ESM2-1,125.0165182476959,83.33931044169887,EC-Earth3,195.3529436792656,CNRM-ESM2-1
1990,0.0.0,historical,78.72726976190347,51.97408200672732,ACCESS-CM2,119.13934718200208,EC-Earth3,99.87460058303172,56.706122916085846,ACCESS-CM2,169.5896681240635,EC-Earth3
1991,0.0.0,historical,86.35436738445696,65.22514576911972,CNRM-ESM2-1,111.85967906883842,EC-Earth3,115.976191066561,88.38506734030643,CNRM-ESM2-1,154.79359466007855,EC-Earth3
1992,0.0.0,historical,96.57205673853616,57.941982385090895,ACCESS-CM2,155.98876581192098,CNRM-ESM2-1,133.3361539931532,83.94925937652654,ACCESS-CM2,214.1836558069512,CNRM-ESM2-1
1993,0.0.0,historical,98.56197987511104,72.02815017019043,EC-Earth3,138.32619910240257,CNRM-ESM2-1,126.49210567020312,94.96136980056824,EC-Earth3,187.5140663010744,CNRM-ESM2-1
1994,0.0.0,historical,73.50395803905711,13.24676015036459,CNRM-ESM2-1,116.99421374457282,ACCESS-CM2,95.72807178043244,27.477950000763183,CNRM-ESM2-1,133.15599156788497,ACCESS-CM2
1995,0.0.0,historical,98.26172061647746,72.79275373050196,ACCESS-CM2,123.7077306611204,EC-Earth3,141.71929080599912,95.89801544462,ACCESS-CM2,176.9377923284268,EC-Earth3
1996,0.0.0,historical,43.30775427591266,27.229260676247964,ACCESS-CM2,56.02975242478549,CNRM-ESM2-1,70.22838509877573,60.90771438053723,ACCESS-CM2,83.13201687676626,CNRM-ESM2-1
1997,0.0.0,historical,131.2302002929513,58.28895993232772,CNRM-ESM2-1,180.46177577291297,ACCESS-CM2,164.06036913735616,93.47777974265033,CNRM-ESM2-1,220.78225274767297,ACCESS-CM2
1998,0.0.0,historical,156.17889077777036,100.40175327573584,CNRM-ESM2-1,214.05363368306936,EC-Earth3,172.55518367404122,115.40465729577284,CNRM-ESM2-1,221.0183601515644,EC-Earth3
1999,0.0.0,historical,70.43961047785676,56.760110402107706,EC-Earth3,79.555779770443,CNRM-ESM2-1,99.46582736969067,78.69589687074998,EC-Earth3,132.0276465143485,CNRM-ESM2-1
2000,0.0.0,historical,122.6806636129114,66.76683677264673,EC-Earth3,196.4781959533701,ACCESS-CM2,151.30740558533535,98.86965366091115,EC-Earth3,214.96895899091567,ACCESS-CM2
2001,0.0.0,historical,71.52018570672946,24.981607191903475,CNRM-ESM2-1,94.95317121233316,EC-Earth3,94.42782317116212,41.98474089758772,CNRM-ESM2-1,134.221271583013,EC-Earth3
2002,0.0.0,historical,154.83432834489074,94.59485373497056,EC-Earth3,226.15696627753223,CNRM-ESM2-1,196.5496238708505,106.97832750592973,EC-Earth3,294.0938316617705,CNRM-ESM2-1
2003,0.0.0,historical,115.24667427312825,64.40700501033287,ACCESS-CM2,172.0352333784112,EC-Earth3,150.97985650471364,80.66993220193113,ACCESS-CM2,212.8866173744212,EC-Earth3
2004,0.0.0,historical,108.6210407416033,56.71934453419328,EC-Earth3,145.93006518908993,ACCESS-CM2,132.38715705417533,61.53319665363913,EC-Earth3,171.17180570875,ACCESS-CM2
2005,0.0.0,historical,121.74030749230224,102.4008593286792,ACCESS-CM2,142.5971181392676,EC-Earth3,153.60485499245863,134.46300453458585,ACCESS-CM2,171.84176777431023,EC-Earth3
2006,0.0.0,historical,162.48868058976754,79.4030979769575,ACCESS-CM2,251.16204647336787,EC-Earth3,197.94935519354783,98.81350517273005,ACCESS-CM2,280.67876461574133,EC-Earth3
2007,0.0.0,historical,156.22705605824865,77.00772438730561,EC-Earth3,209.28973522867557,ACCESS-CM2,198.1933295658666,99.08347479956554,EC-Earth3,252.2205030986252,ACCESS-CM2
2008,0.0.0,historical,155.2499571073631,123.58763757433276,ACCESS-CM2,180.72036564009628,CNRM-ESM2-1,189.19746451605025,147.39276076725628,ACCESS-CM2,234.80411599023117,CNRM-ESM2-1
2009,0.0.0,historical,105.39296591395492,63.63487984793574,EC-Earth3,128.2079858303077,ACCESS-CM2,130.6135371253612,84.7609867913388,EC-Earth3,162.59512793677283,ACCESS-CM2
2010,0.0.0,historical,202.69071593511765,162.58851752962462,EC-Earth3,282.1507375989653,ACCESS-CM2,243.28263262794246,197.3326612063826,EC-Earth3,322.0954039982402,ACCESS-CM2
2011,0.0.0,historical,174.17102521714796,64.57093252454521,ACCESS-CM2,338.6449811458602,EC-Earth3,193.86225655419582,88.3146237645836,ACCESS-CM2,352.06692668369993,EC-Earth3
2012,0.0.0,historical,106.14775989623364,84.39584168706685,EC-Earth3,131.68207454000282,CNRM-ESM2-1,122.2817787125005,104.92037124633866,EC-Earth3,150.67869254521045,CNRM-ESM2-1
2013,0.0.0,historical,133.2269516468056,105.631799330031,CNRM-ESM2-1,155.80956844602392,EC-Earth3,150.08306627273654,118.72478941508793,CNRM-ESM2-1,168.95599102292834,EC-Earth3
2014,0.0.0,historical,98.29342098236145,80.65398430143132,ACCESS-CM2,114.87094586917408,CNRM-ESM2-1,141.9573024613525,112.54641831261848,ACCESS-CM2,158.00136586598077,EC-Earth3
1951,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1952,1.1.1,historical,0.012149863071419768,0.0,CNRM-ESM2-1,0.0364495892142593,ACCESS-CM2,0.024431966618425102,0.0,CNRM-ESM2-1,0.0732958998552753,ACCESS-CM2
1953,1.1.1,historical,0.0033949712796863996,0.0,CNRM-ESM2-1,0.0101849138390592,ACCESS-CM2,0.0034248544040965333,0.0,CNRM-ESM2-1,0.0102745632122896,ACCESS-CM2
1954,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1955,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1956,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1957,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1958,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1959,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1960,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1961,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1962,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1963,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1964,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1965,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0034989827001368334,0.0,ACCESS-CM2,0.0104969481004105,EC-Earth3
1966,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1967,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1968,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1969,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1970,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1971,1.1.1,historical,0.09108363205824543,0.0,ACCESS-CM2,0.2732508961747363,CNRM-ESM2-1,0.0697023091185163,0.0,ACCESS-CM2,0.2091069273555489,CNRM-ESM2-1
1972,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1973,1.1.1,historical,0.0007928072183205334,0.0,CNRM-ESM2-1,0.0023784216549616,ACCESS-CM2,0.013772411693494966,0.0,CNRM-ESM2-1,0.0413172350804849,ACCESS-CM2
1974,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1975,1.1.1,historical,0.006473982246449367,0.0,ACCESS-CM2,0.0194219467393481,CNRM-ESM2-1,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1976,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1977,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1978,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,9.254281298393334e-05,0.0,CNRM-ESM2-1,0.0002776284389518,ACCESS-CM2
1979,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1980,1.1.1,historical,0.00024567536499166666,0.0,ACCESS-CM2,0.000737026094975,CNRM-ESM2-1,0.0012056865389385334,0.0,ACCESS-CM2,0.0036170596168156,CNRM-ESM2-1
1981,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1982,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1983,1.1.1,historical,0.01595251398681013,0.0,CNRM-ESM2-1,0.0478575419604304,ACCESS-CM2,0.0049454851848324665,0.0,CNRM-ESM2-1,0.0148364555544974,ACCESS-CM2
1984,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1985,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1986,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1987,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1988,1.1.1,historical,0.0010033820518172334,0.0,CNRM-ESM2-1,0.0030101461554517,ACCESS-CM2,0.0018757169208830002,0.0,CNRM-ESM2-1,0.005627150762649,ACCESS-CM2
1989,1.1.1,historical,0.011213273518407866,0.0,ACCESS-CM2,0.0336398205552236,CNRM-ESM2-1,0.008003062958224633,0.0,ACCESS-CM2,0.0240091888746739,CNRM-ESM2-1
1990,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1991,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0137170618096389,0.0,ACCESS-CM2,0.0377327488136074,EC-Earth3
1992,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1993,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1994,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1995,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1996,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0357416180275787,0.0,ACCESS-CM2,0.1072248540827361,EC-Earth3
1997,1.1.1,historical,0.0013853302769914668,0.0,ACCESS-CM2,0.0041559908309744,EC-Earth3,0.002169637942194233,0.0,ACCESS-CM2,0.0065089138265827,EC-Earth3
1998,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1999,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
2000,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
2001,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
2002,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
2003,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.03777204004775877,0.0,ACCESS-CM2,0.1132102195394182,EC-Earth3
2004,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.005278274471151634,0.0,CNRM-ESM2-1,0.0158348234134549,ACCESS-CM2
2005,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
2006,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
2007,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
2008,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
2009,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
2010,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,6.764670743806667e-05,0.0,CNRM-ESM2-1,0.0002029401223142,ACCESS-CM2
2011,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
2012,1.1.1,historical,0.00013357081987393332,0.0,CNRM-ESM2-1,0.0004007124596218,ACCESS-CM2,0.0019303957252045333,0.0,CNRM-ESM2-1,0.0057911871756136,ACCESS-CM2
2013,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.00042668843610870003,0.0,ACCESS-CM2,0.0012800653083261,CNRM-ESM2-1
2014,1.1.1,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1951,1.1.2,historical,0.028338290044902167,0.0,ACCESS-CM2,0.0850148701347065,CNRM-ESM2-1,1.2056205441598993,0.0,ACCESS-CM2,3.616861632479698,CNRM-ESM2-1
1952,1.1.2,historical,3.0791414794009735,0.1035897430283086,CNRM-ESM2-1,8.931449896979275,ACCESS-CM2,5.103120643604346,0.2437143642271618,EC-Earth3,14.760501796568532,ACCESS-CM2
1953,1.1.2,historical,1.5889651562244733,0.0134010896554445,CNRM-ESM2-1,4.215329246349981,ACCESS-CM2,2.2388849050296833,0.0145616882050523,CNRM-ESM2-1,6.173331126397023,ACCESS-CM2
1954,1.1.2,historical,0.340221746014203,0.146790029756695,EC-Earth3,0.4562898302292187,CNRM-ESM2-1,0.7058526146037822,0.2758018322589766,EC-Earth3,1.313005401200798,CNRM-ESM2-1
1955,1.1.2,historical,0.7171740042967366,0.0,CNRM-ESM2-1,1.3888961176166768,EC-Earth3,1.715946000217519,0.4170010964432181,CNRM-ESM2-1,3.754571368983008,EC-Earth3
1956,1.1.2,historical,0.24842724992555845,0.0,ACCESS-CM2,0.7452817497766754,CNRM-ESM2-1,0.2883702253903389,0.0,ACCESS-CM2,0.8641797942431158,CNRM-ESM2-1
1957,1.1.2,historical,0.03458704242791883,0.0,ACCESS-CM2,0.101142643813062,CNRM-ESM2-1,0.2645134759056222,0.0,ACCESS-CM2,0.7008371943315652,EC-Earth3
1958,1.1.2,historical,1.8393867161954764,0.004218979908212,EC-Earth3,5.504718044948186,CNRM-ESM2-1,3.240421485615796,0.0344111831733471,EC-Earth3,8.882153785602988,CNRM-ESM2-1
1959,1.1.2,historical,1.6118008988498913,0.5864041657725864,CNRM-ESM2-1,2.2990386757615693,EC-Earth3,2.1280262124556475,0.2581114901555555,CNRM-ESM2-1,3.5780596130097826,EC-Earth3
1960,1.1.2,historical,0.0011781860716496668,0.0,ACCESS-CM2,0.003534558214949,EC-Earth3,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2
1961,1.1.2,historical,1.3901191221046272,0.1322488143305093,ACCESS-CM2,3.109998420749564,EC-Earth3,2.2085309631621546,0.2073366994815053,ACCESS-CM2,4.133858349718886,EC-Earth3
1962,1.1.2,historical,0.4358951312009604,0.0073592044847431,ACCESS-CM2,0.703034117831253,EC-Earth3,0.7629195459933301,0.0002671861862388,ACCESS-CM2,1.4324323029796264,CNRM-ESM2-1
1963,1.1.2,historical,2.1653959448205864,0.0,ACCESS-CM2,5.291021796940728,CNRM-ESM2-1,2.7132218479219468,0.0,ACCESS-CM2,4.227224471430116,CNRM-ESM2-1
1964,1.1.2,historical,0.15494487859387043,0.0018998287183822,ACCESS-CM2,0.4585428143830685,CNRM-ESM2-1,0.36679147398169415,0.145525055615894,EC-Earth3,0.6289376434189387,ACCESS-CM2
1965,1.1.2,historical,2.6075958799353844,0.0,ACCESS-CM2,5.746603249862101,CNRM-ESM2-1,4.607010964249674,0.0139118416961535,ACCESS-CM2,7.155930441270554,CNRM-ESM2-1
1966,1.1.2,historical,2.1997265506396784,0.0130002214235046,CNRM-ESM2-1,6.395172577588613,ACCESS-CM2,2.4099060834078037,0.0482759484261152,CNRM-ESM2-1,6.992279997000313,ACCESS-CM2
1967,1.1.2,historical,0.47967956725436106,0.0,EC-Earth3,1.1876695367787564,CNRM-ESM2-1,1.06865014046298,0.0089874678128509,EC-Earth3,1.8981991618203664,CNRM-ESM2-1
1968,1.1.2,historical,0.81034862934564,0.0,ACCESS-CM2,2.411883175426563,EC-Earth3,1.6240562313519067,0.0,ACCESS-CM2,4.53980254442707,EC-Earth3
1969,1.1.2,historical,0.2397104602579957,0.0,ACCESS-CM2,0.6653730247052849,CNRM-ESM2-1,0.8570746907917095,0.0,ACCESS-CM2,2.1397706309776314,CNRM-ESM2-1
1970,1.1.2,historical,3.36677986224853,0.0419590423994548,EC-Earth3,6.09086527460901,ACCESS-CM2,3.312987409970901,0.0068448190731858,EC-Earth3,7.225914897833244,ACCESS-CM2
1971,1.1.2,historical,2.7368395156746477,0.0,ACCESS-CM2,8.037380194557135,CNRM-ESM2-1,4.679606461917006,0.0,ACCESS-CM2,13.41168022668956,CNRM-ESM2-1
1972,1.1.2,historical,0.1147354604952021,0.0,ACCESS-CM2,0.3442063814856063,EC-Earth3,0.12537480512542284,0.0,ACCESS-CM2,0.271382955371537,EC-Earth3
