Year,City,Scenario,TRCmax,TRCmax_min,TRCmax_min_model,TRCmax_max,TRCmax_max_model,TRCmaxmin,TRCmaxmin_min,TRCmaxmin_min_model,TRCmaxmin_max,TRCmaxmin_max_model
1984,Atlanta,historical,1.6444444444444446,0.0,ACCESS-CM2,2.833333333333333,CNRM-ESM2-1,44.23333333333333,33.766666666666666,ACCESS-CM2,58.73333333333333,CNRM-ESM2-1
1985,Atlanta,historical,1.6555555555555557,0.4666666666666667,CNRM-ESM2-1,3.0,EC-Earth3,43.46666666666667,30.766666666666666,ACCESS-CM2,53.03333333333333,EC-Earth3
1986,Atlanta,historical,2.0666666666666664,1.2666666666666666,CNRM-ESM2-1,3.533333333333333,ACCESS-CM2,39.22222222222222,34.46666666666667,ACCESS-CM2,47.9,EC-Earth3
1987,Atlanta,historical,1.8333333333333333,1.0,ACCESS-CM2,3.5,EC-Earth3,32.46666666666667,22.366666666666667,ACCESS-CM2,47.6,EC-Earth3
1988,Atlanta,historical,0.1555555555555555,0.0333333333333333,CNRM-ESM2-1,0.2666666666666666,EC-Earth3,36.32222222222222,31.666666666666668,EC-Earth3,40.56666666666667,ACCESS-CM2
1989,Atlanta,historical,2.4666666666666663,1.4666666666666666,ACCESS-CM2,3.6666666666666665,CNRM-ESM2-1,42.4,37.3,ACCESS-CM2,46.36666666666667,EC-Earth3
1990,Atlanta,historical,1.9111111111111108,0.6333333333333333,EC-Earth3,3.033333333333333,ACCESS-CM2,40.355555555555554,33.93333333333333,EC-Earth3,47.766666666666666,CNRM-ESM2-1
1991,Atlanta,historical,1.0444444444444445,0.0,EC-Earth3,2.3,ACCESS-CM2,33.788888888888884,30.2,EC-Earth3,40.53333333333333,CNRM-ESM2-1
1992,Atlanta,historical,1.488888888888889,0.9666666666666668,ACCESS-CM2,2.1666666666666665,EC-Earth3,32.72222222222222,26.566666666666663,ACCESS-CM2,37.766666666666666,CNRM-ESM2-1
1993,Atlanta,historical,1.3555555555555554,0.0666666666666666,CNRM-ESM2-1,3.0,ACCESS-CM2,35.388888888888886,30.83333333333333,ACCESS-CM2,40.4,CNRM-ESM2-1
1994,Atlanta,historical,0.8777777777777778,0.0,ACCESS-CM2,1.6333333333333333,CNRM-ESM2-1,40.34444444444444,29.23333333333333,EC-Earth3,61.8,CNRM-ESM2-1
1995,Atlanta,historical,0.5111111111111111,0.0,CNRM-ESM2-1,1.0,ACCESS-CM2,38.11111111111111,34.86666666666667,CNRM-ESM2-1,43.23333333333333,EC-Earth3
1996,Atlanta,historical,3.0555555555555554,3.0,ACCESS-CM2,3.1333333333333333,EC-Earth3,47.34444444444444,43.23333333333333,EC-Earth3,49.53333333333333,ACCESS-CM2
1997,Atlanta,historical,0.9333333333333332,0.6,ACCESS-CM2,1.2,CNRM-ESM2-1,33.37777777777777,24.133333333333333,ACCESS-CM2,39.266666666666666,CNRM-ESM2-1
1998,Atlanta,historical,1.3444444444444443,0.0666666666666666,ACCESS-CM2,2.066666666666667,CNRM-ESM2-1,35.78888888888889,29.266666666666666,ACCESS-CM2,42.53333333333333,CNRM-ESM2-1
1999,Atlanta,historical,1.3444444444444443,1.0666666666666669,EC-Earth3,1.7666666666666666,ACCESS-CM2,35.05555555555555,30.73333333333333,ACCESS-CM2,38.5,CNRM-ESM2-1
2000,Atlanta,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,31.266666666666666,30.5,ACCESS-CM2,31.83333333333333,CNRM-ESM2-1
2001,Atlanta,historical,1.8666666666666665,0.0,EC-Earth3,3.033333333333333,CNRM-ESM2-1,42.97777777777778,32.0,EC-Earth3,56.66666666666666,CNRM-ESM2-1
2002,Atlanta,historical,0.7000000000000001,0.0,ACCESS-CM2,2.1,EC-Earth3,30.377777777777776,23.2,CNRM-ESM2-1,40.6,EC-Earth3
2003,Atlanta,historical,0.9222222222222222,0.3333333333333333,ACCESS-CM2,1.5,CNRM-ESM2-1,37.15555555555556,34.233333333333334,ACCESS-CM2,41.833333333333336,CNRM-ESM2-1
2004,Atlanta,historical,0.6444444444444444,0.0,ACCESS-CM2,1.9333333333333331,EC-Earth3,37.01111111111111,19.366666666666667,ACCESS-CM2,50.66666666666666,EC-Earth3
2005,Atlanta,historical,0.0,0.0,ACCESS-CM2,0.0,ACCESS-CM2,33.955555555555556,30.03333333333333,EC-Earth3,40.96666666666667,CNRM-ESM2-1
2006,Atlanta,historical,0.9777777777777777,0.1666666666666666,CNRM-ESM2-1,1.9,ACCESS-CM2,36.800000000000004,33.2,CNRM-ESM2-1,43.3,ACCESS-CM2
2007,Atlanta,historical,1.0888888888888888,0.0,ACCESS-CM2,3.2666666666666666,EC-Earth3,29.51111111111111,20.933333333333334,ACCESS-CM2,38.1,EC-Earth3
2008,Atlanta,historical,0.6666666666666666,0.0,CNRM-ESM2-1,2.0,ACCESS-CM2,33.37777777777777,30.566666666666663,EC-Earth3,35.166666666666664,CNRM-ESM2-1
