Year,Model,Ecoregion,Scenario,WarmSpell3,WarmSpell3_min,WarmSpell3_max
1993,1,1.1.1,historical,0,0,0
1994,1,1.1.1,historical,0,0,0
1995,1,1.1.1,historical,0,0,0
1996,1,1.1.1,historical,0,0,0
1997,1,1.1.1,historical,0,0,0
1998,1,1.1.1,historical,0,0,0
1999,1,1.1.1,historical,0,0,0
2000,1,1.1.1,historical,0,0,0
2001,1,1.1.1,historical,0,0,0
2002,1,1.1.1,historical,0,0,0
2003,1,1.1.1,historical,0,0,0
2004,1,1.1.1,historical,0,0,0
2005,1,1.1.1,historical,0,0,0
2006,1,1.1.1,historical,0,0,0
2007,1,1.1.1,historical,0,0,0
2008,1,1.1.1,historical,0,0,0
2009,1,1.1.1,historical,0,0,0
2010,1,1.1.1,historical,0,0,0
2011,1,1.1.1,historical,0,0,0
2012,1,1.1.1,historical,0,0,0
2013,1,1.1.1,historical,0,0,0
2014,1,1.1.1,historical,0,0,0
1951,1,1.1.2,historical,0,0,0
1952,1,1.1.2,historical,0.282511211,0,1
1953,1,1.1.2,historical,0.044843049,0,1
1954,1,1.1.2,historical,0,0,0
1955,1,1.1.2,historical,0,0,0
1956,1,1.1.2,historical,0,0,0
1957,1,1.1.2,historical,0,0,0
1958,1,1.1.2,historical,0,0,0
1959,1,1.1.2,historical,0.00896861,0,1
1960,1,1.1.2,historical,0,0,0
1961,1,1.1.2,historical,0,0,0
1962,1,1.1.2,historical,0,0,0
1963,1,1.1.2,historical,0,0,0
1964,1,1.1.2,historical,0,0,0
1965,1,1.1.2,historical,0,0,0
1966,1,1.1.2,historical,0.047085202,0,1
1967,1,1.1.2,historical,0,0,0
1968,1,1.1.2,historical,0,0,0
1969,1,1.1.2,historical,0,0,0
1970,1,1.1.2,historical,0.024663677,0,1
1971,1,1.1.2,historical,0,0,0
1972,1,1.1.2,historical,0,0,0
1973,1,1.1.2,historical,0,0,0
1974,1,1.1.2,historical,0,0,0
1975,1,1.1.2,historical,0,0,0
1976,1,1.1.2,historical,0,0,0
1977,1,1.1.2,historical,0,0,0
1978,1,1.1.2,historical,0.098654709,0,1
1979,1,1.1.2,historical,0,0,0
1980,1,1.1.2,historical,0,0,0
1981,1,1.1.2,historical,0,0,0
1982,1,1.1.2,historical,0,0,0
1983,1,1.1.2,historical,0.00896861,0,1
1984,1,1.1.2,historical,0,0,0
1985,1,1.1.2,historical,0.00896861,0,1
1986,1,1.1.2,historical,0,0,0
1987,1,1.1.2,historical,0,0,0
1988,1,1.1.2,historical,0.183856502,0,1
1989,1,1.1.2,historical,0,0,0
1990,1,1.1.2,historical,0,0,0
1991,1,1.1.2,historical,0,0,0
1992,1,1.1.2,historical,0,0,0
1993,1,1.1.2,historical,0,0,0
1994,1,1.1.2,historical,0,0,0
1995,1,1.1.2,historical,0,0,0
1996,1,1.1.2,historical,0.004484305,0,1
1997,1,1.1.2,historical,0,0,0
1998,1,1.1.2,historical,0.197309417,0,1
1999,1,1.1.2,historical,0,0,0
2000,1,1.1.2,historical,0,0,0
2001,1,1.1.2,historical,0.002242152,0,1
2002,1,1.1.2,historical,0,0,0
2003,1,1.1.2,historical,0,0,0
2004,1,1.1.2,historical,0.002242152,0,1
2005,1,1.1.2,historical,0,0,0
2006,1,1.1.2,historical,0.089686099,0,1
2007,1,1.1.2,historical,0,0,0
2008,1,1.1.2,historical,0.394618834,0,1
2009,1,1.1.2,historical,0,0,0
2010,1,1.1.2,historical,0,0,0
2011,1,1.1.2,historical,0.002242152,0,1
2012,1,1.1.2,historical,0.031390135,0,1
2013,1,1.1.2,historical,0.047085202,0,1
2014,1,1.1.2,historical,0,0,0
1951,1,10.1.1,historical,2.561904762,0,7
1952,1,10.1.1,historical,2.752380952,1,6
1953,1,10.1.1,historical,2.733333333,0,5
1954,1,10.1.1,historical,1.866666667,0,5
1955,1,10.1.1,historical,4.914285714,0,8
1956,1,10.1.1,historical,1.571428571,0,6
1957,1,10.1.1,historical,1.904761905,0,4
1958,1,10.1.1,historical,2.180952381,0,4
1959,1,10.1.1,historical,1.59047619,0,5
1960,1,10.1.1,historical,1.247619048,0,5
1961,1,10.1.1,historical,1.60952381,0,5
1962,1,10.1.1,historical,2.161904762,0,7
1963,1,10.1.1,historical,2.695238095,0,6
1964,1,10.1.1,historical,1.59047619,0,5
1965,1,10.1.1,historical,0.828571429,0,4
1966,1,10.1.1,historical,2.057142857,0,5
1967,1,10.1.1,historical,2.180952381,0,6
1968,1,10.1.1,historical,2.219047619,0,5
1969,1,10.1.1,historical,2.066666667,0,6
1970,1,10.1.1,historical,1.60952381,0,5
1971,1,10.1.1,historical,1.028571429,0,6
1972,1,10.1.1,historical,1.80952381,0,5
1973,1,10.1.1,historical,2.2,0,6
1974,1,10.1.1,historical,3.20952381,0,6
1975,1,10.1.1,historical,0,0,0
1976,1,10.1.1,historical,2.171428571,0,5
1977,1,10.1.1,historical,3.99047619,0,7
1978,1,10.1.1,historical,3,0,6
1979,1,10.1.1,historical,2.085714286,0,7
1980,1,10.1.1,historical,2.466666667,0,6
1981,1,10.1.1,historical,2.028571429,0,4
1982,1,10.1.1,historical,1.228571429,0,6
1983,1,10.1.1,historical,3.828571429,0,7
1984,1,10.1.1,historical,2.438095238,0,5
1985,1,10.1.1,historical,0.80952381,0,2
1986,1,10.1.1,historical,2.257142857,0,6
1987,1,10.1.1,historical,1.676190476,0,5
1988,1,10.1.1,historical,3.142857143,0,6
1989,1,10.1.1,historical,2.685714286,0,7
1990,1,10.1.1,historical,0.885714286,0,3
1991,1,10.1.1,historical,2.561904762,0,5
1992,1,10.1.1,historical,1.580952381,0,4
1993,1,10.1.1,historical,1.123809524,0,6
1994,1,10.1.1,historical,3.333333333,0,7
1995,1,10.1.1,historical,1.914285714,0,4
1996,1,10.1.1,historical,3.352380952,0,7
1997,1,10.1.1,historical,0.733333333,0,4
1998,1,10.1.1,historical,1.952380952,1,4
1999,1,10.1.1,historical,3.095238095,0,6
2000,1,10.1.1,historical,1.676190476,0,7
2001,1,10.1.1,historical,1.419047619,0,5
2002,1,10.1.1,historical,1.961904762,0,6
2003,1,10.1.1,historical,2.780952381,0,5
2004,1,10.1.1,historical,3.095238095,0,6
2005,1,10.1.1,historical,4.152380952,0,7
2006,1,10.1.1,historical,1.371428571,0,4
2007,1,10.1.1,historical,2.752380952,1,5
2008,1,10.1.1,historical,1.80952381,0,6
2009,1,10.1.1,historical,4.838095238,0,9
2010,1,10.1.1,historical,3.542857143,1,6
2011,1,10.1.1,historical,3.495238095,1,6
2012,1,10.1.1,historical,1.80952381,0,6
2013,1,10.1.1,historical,2.066666667,0,5
2014,1,10.1.1,historical,2.238095238,0,6
1951,1,10.1.2,historical,3.975,1,7
1952,1,10.1.2,historical,3.10625,2,4
1953,1,10.1.2,historical,3.55,3,6
1954,1,10.1.2,historical,5.8625,1,8
1955,1,10.1.2,historical,4.35,3,7
1956,1,10.1.2,historical,5.5125,1,8
1957,1,10.1.2,historical,4.63125,2,6
1958,1,10.1.2,historical,6.36875,2,9
1959,1,10.1.2,historical,5.79375,1,7
1960,1,10.1.2,historical,4.85625,2,7
1961,1,10.1.2,historical,5.03125,1,7
1962,1,10.1.2,historical,4.93125,1,8
1963,1,10.1.2,historical,5.4625,3,7
1964,1,10.1.2,historical,3.275,1,6
1965,1,10.1.2,historical,3.41875,0,6
1966,1,10.1.2,historical,5.23125,2,7
1967,1,10.1.2,historical,4.01875,2,6
1968,1,10.1.2,historical,5.0875,2,7
1969,1,10.1.2,historical,4.275,1,6
1970,1,10.1.2,historical,5.55625,1,8
1971,1,10.1.2,historical,6.3375,0,8
1972,1,10.1.2,historical,4.9,1,10
1973,1,10.1.2,historical,6.3875,1,8
1974,1,10.1.2,historical,5.00625,3,7
1975,1,10.1.2,historical,1.83125,0,5
1976,1,10.1.2,historical,6.0625,2,8
1977,1,10.1.2,historical,2.83125,1,7
1978,1,10.1.2,historical,4.925,2,7
1979,1,10.1.2,historical,4.20625,2,6
1980,1,10.1.2,historical,5,2,6
1981,1,10.1.2,historical,3.925,3,6
1982,1,10.1.2,historical,4.3875,0,7
1983,1,10.1.2,historical,3.3,2,7
1984,1,10.1.2,historical,5.6125,2,8
1985,1,10.1.2,historical,3.15,1,5
1986,1,10.1.2,historical,5.4,3,7
1987,1,10.1.2,historical,7.90625,2,10
1988,1,10.1.2,historical,4.7375,3,7
1989,1,10.1.2,historical,5.4875,3,8
1990,1,10.1.2,historical,4.4375,1,7
1991,1,10.1.2,historical,4.9625,3,8
1992,1,10.1.2,historical,6.9,1,10
1993,1,10.1.2,historical,4.4625,0,6
1994,1,10.1.2,historical,4.4,2,8
1995,1,10.1.2,historical,3.94375,2,6
1996,1,10.1.2,historical,3.66875,3,5
1997,1,10.1.2,historical,5.79375,1,9
1998,1,10.1.2,historical,5.34375,3,7
1999,1,10.1.2,historical,6.10625,4,8
2000,1,10.1.2,historical,6.7375,0,9
2001,1,10.1.2,historical,5.09375,1,7
2002,1,10.1.2,historical,5.68125,3,8
2003,1,10.1.2,historical,3.8875,2,6
2004,1,10.1.2,historical,5.60625,2,8
2005,1,10.1.2,historical,5.25,3,8
2006,1,10.1.2,historical,4.79375,1,7
2007,1,10.1.2,historical,4.5125,3,7
2008,1,10.1.2,historical,3.3,2,6
2009,1,10.1.2,historical,3.26875,2,8
2010,1,10.1.2,historical,5.9125,4,8
2011,1,10.1.2,historical,5.55625,2,8
2012,1,10.1.2,historical,4.8875,1,9
2013,1,10.1.2,historical,5.61875,2,8
2014,1,10.1.2,historical,6.35625,1,8
1951,1,10.1.3,historical,5.869565217,3,8
1952,1,10.1.3,historical,3.640316206,2,7
1953,1,10.1.3,historical,3.782608696,1,6
1954,1,10.1.3,historical,5.063241107,1,9
1955,1,10.1.3,historical,6.4743083,3,9
1956,1,10.1.3,historical,3.442687747,1,7
1957,1,10.1.3,historical,2.584980237,0,6
1958,1,10.1.3,historical,4.628458498,2,7
1959,1,10.1.3,historical,2.739130435,0,7
1960,1,10.1.3,historical,3.62055336,0,8
1961,1,10.1.3,historical,5.438735178,3,8
1962,1,10.1.3,historical,5.355731225,2,8
1963,1,10.1.3,historical,4.537549407,1,7
1964,1,10.1.3,historical,2.924901186,0,8
1965,1,10.1.3,historical,2.798418972,0,5
1966,1,10.1.3,historical,4.948616601,4,7
1967,1,10.1.3,historical,4.660079051,1,9
1968,1,10.1.3,historical,3.841897233,2,6
1969,1,10.1.3,historical,5.608695652,1,8
1970,1,10.1.3,historical,4.276679842,1,8
1971,1,10.1.3,historical,3.881422925,0,7
1972,1,10.1.3,historical,5.347826087,2,8
1973,1,10.1.3,historical,4.458498024,1,9
1974,1,10.1.3,historical,3.885375494,2,7
1975,1,10.1.3,historical,1.901185771,1,4
1976,1,10.1.3,historical,3.229249012,2,7
1977,1,10.1.3,historical,4.869565217,1,8
1978,1,10.1.3,historical,6.233201581,2,9
1979,1,10.1.3,historical,4.640316206,3,7
1980,1,10.1.3,historical,4.56916996,0,8
1981,1,10.1.3,historical,4.245059289,2,8
1982,1,10.1.3,historical,4.648221344,1,8
1983,1,10.1.3,historical,5.782608696,3,7
1984,1,10.1.3,historical,4.264822134,1,9
1985,1,10.1.3,historical,2.130434783,0,5
1986,1,10.1.3,historical,5.015810277,0,9
1987,1,10.1.3,historical,6.798418972,4,9
1988,1,10.1.3,historical,4.822134387,4,7
1989,1,10.1.3,historical,6.229249012,1,9
1990,1,10.1.3,historical,3.375494071,1,6
1991,1,10.1.3,historical,5.616600791,1,8
1992,1,10.1.3,historical,5.770750988,1,9
1993,1,10.1.3,historical,3.33201581,1,6
1994,1,10.1.3,historical,7.201581028,1,11
1995,1,10.1.3,historical,5.075098814,0,8
1996,1,10.1.3,historical,5.043478261,2,7
1997,1,10.1.3,historical,4.272727273,2,9
1998,1,10.1.3,historical,4.015810277,2,8
